step,f_min,alpha_gov,k_t_minus_1,target_t,predicted_k_t,observed_k_t,abs_error
1,0.2,0.1,0.2,0.09990247322979735,0.2,0.2,0.0
2,0.2,0.1,0.2,0.10587447870829161,0.2,0.2,0.0
3,0.2,0.1,0.2,0.08746364512103459,0.2,0.2,0.0
4,0.2,0.1,0.2,0.28180034097458084,0.20818003409745808,0.20818003409745808,0.0
5,0.2,0.1,0.20818003409745808,0.32606456082106633,0.2199684867698189,0.2199684867698189,0.0
6,0.2,0.1,0.2199684867698189,0.2869671973860775,0.22666835783144476,0.22666835783144476,0.0
7,0.2,0.1,0.22666835783144476,0.23076839163843144,0.22707836121214342,0.22707836121214342,0.0
8,0.2,0.1,0.22707836121214342,0.1854950116723872,0.22292002625816779,0.22292002625816779,0.0
9,0.2,0.1,0.22292002625816779,0.13938145497815382,0.21456616913016638,0.21456616913016638,0.0
10,0.2,0.1,0.21456616913016638,0.29526061052026586,0.22263561326917633,0.22263561326917633,0.0
11,0.2,0.1,0.22263561326917633,0.28941958295447917,0.22931401023770662,0.22931401023770662,0.0
12,0.2,0.1,0.22931401023770662,0.25454530657697905,0.23183713987163385,0.23183713987163385,0.0
13,0.2,0.1,0.23183713987163385,0.20809468439161702,0.22946289432363215,0.22946289432363215,0.0
14,0.2,0.1,0.22946289432363215,0.17370385720021245,0.2238869906112902,0.2238869906112902,0.0
15,0.2,0.1,0.2238869906112902,0.13502176798282092,0.21500046834844327,0.21500046834844327,0.0
16,0.2,0.1,0.21500046834844327,0.09600468453014839,0.2031008899666138,0.2031008899666138,0.0
17,0.2,0.1,0.2031008899666138,0.078283652291613,0.2,0.2,0.0
18,0.2,0.1,0.2,0.06764496076638192,0.2,0.2,0.0
19,0.2,0.1,0.2,0.0760598337673835,0.2,0.2,0.0
20,0.2,0.1,0.2,0.0691150492074594,0.2,0.2,0.0
21,0.2,0.1,0.2,0.07877875935183122,0.2,0.2,0.0
22,0.2,0.1,0.2,0.10138596425214606,0.2,0.2,0.0
23,0.2,0.1,0.2,0.08688176994560001,0.2,0.2,0.0
24,0.2,0.1,0.2,0.07048624263669495,0.2,0.2,0.0
25,0.2,0.1,0.2,0.06321857684111175,0.2,0.2,0.0
26,0.2,0.1,0.2,0.0871746799074148,0.2,0.2,0.0
27,0.2,0.1,0.2,0.08648194370118391,0.2,0.2,0.0
28,0.2,0.1,0.2,0.09124288028531871,0.2,0.2,0.0
29,0.2,0.1,0.2,0.08165678325294738,0.2,0.2,0.0
30,0.2,0.1,0.2,0.06353932699165446,0.2,0.2,0.0
