run_index,seed,cooperation_halflife_steps,trust_halflife_steps,timescale_ratio,assertion_supported
0,42,10,21,2.1,1
1,43,10,21,2.1,1
2,44,9,21,2.3333333333333335,1
3,45,9,21,2.3333333333333335,1
4,46,9,21,2.3333333333333335,1
5,47,10,21,2.1,1
6,48,9,20,2.2222222222222223,1
7,49,9,21,2.3333333333333335,1
8,50,9,21,2.3333333333333335,1
9,51,10,21,2.1,1
10,52,9,21,2.3333333333333335,1
11,53,9,21,2.3333333333333335,1
12,54,10,21,2.1,1
13,55,9,20,2.2222222222222223,1
14,56,10,21,2.1,1
15,57,10,21,2.1,1
16,58,9,21,2.3333333333333335,1
17,59,9,20,2.2222222222222223,1
18,60,9,20,2.2222222222222223,1
19,61,10,21,2.1,1
