s_threshold,run_index,seed,trigger_A_fired,sustained_ignition_observed,false_alarm,network_failure_rate,final_cooperation,final_trust
0.1,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.1,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.1,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.1,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.1,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.1,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.1,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.1,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.1,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.1,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.1,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.1,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.1,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.1,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.1,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.1,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.1,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.1,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.1,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.1,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.1,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.1,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.1,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.1,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.1,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.1,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.1,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.1,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.1,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.1,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.15,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.15,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.15,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.15,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.15,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.15,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.15,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.15,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.15,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.15,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.15,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.15,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.15,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.15,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.15,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.15,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.15,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.15,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.15,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.15,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.15,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.15,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.15,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.15,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.15,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.15,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.15,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.15,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.15,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.15,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.2,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.2,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.2,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.2,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.2,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.2,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.2,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.2,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.2,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.2,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.2,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.2,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.2,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.2,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.2,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.2,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.2,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.2,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.2,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.2,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.2,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.2,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.2,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.2,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.2,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.2,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.2,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.2,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.2,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.2,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.25,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.25,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.25,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.25,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.25,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.25,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.25,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.25,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.25,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.25,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.25,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.25,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.25,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.25,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.25,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.25,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.25,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.25,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.25,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.25,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.25,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.25,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.25,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.25,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
