name,run_index,seed,abundance_year,ai_year,peak_abundance,final_abundance,stability_break_year,final_stability,min_stability,final_nodes,disruption_events
baseline,1,42,,680,0.444,0.0,950,0.213,0.213,60,4
baseline,2,43,,710,0.384,0.0,990,0.409,0.409,55,1
baseline,3,44,,680,0.431,0.0,950,0.201,0.201,56,2
baseline,4,45,,690,0.42,0.0,960,0.265,0.265,56,4
baseline,5,46,,700,0.417,0.0,980,0.362,0.362,62,3
baseline,6,47,,680,0.411,0.0,950,0.245,0.245,54,3
baseline,7,48,,710,0.403,0.0,990,0.429,0.429,54,6
baseline,8,49,,680,0.475,0.0,950,0.225,0.225,62,3
baseline,9,50,,690,0.427,0.0,970,0.31,0.31,62,3
baseline,10,51,,670,0.431,0.0,960,0.285,0.285,61,3
faster_automation,1,42,380,590,0.705,0.0,870,0.009,0.009,63,2
faster_automation,2,43,300,570,0.787,0.0,850,0.008,0.008,61,5
faster_automation,3,44,,580,0.688,0.0,870,0.018,0.009,56,6
faster_automation,4,45,280,570,0.822,0.0,850,0.006,0.006,61,1
faster_automation,5,46,310,570,0.727,0.0,850,0.008,0.008,61,5
faster_automation,6,47,290,570,0.742,0.0,840,0.0,0.0,56,4
faster_automation,7,48,370,590,0.707,0.0,870,0.017,0.006,60,1
faster_automation,8,49,290,570,0.815,0.0,850,0.0,0.0,51,6
faster_automation,9,50,280,580,0.738,0.0,850,0.006,0.006,57,5
faster_automation,10,51,290,570,0.793,0.0,850,0.014,0.0,55,7
slower_ai,1,42,,950,0.408,0.0,,0.979,0.718,55,5
slower_ai,2,43,,930,0.41,0.0,,0.989,0.734,52,4
slower_ai,3,44,,920,0.401,0.0,,0.989,0.73,49,6
slower_ai,4,45,,930,0.389,0.0,,0.978,0.664,56,4
slower_ai,5,46,,980,0.392,0.0,,0.993,0.775,54,4
slower_ai,6,47,,920,0.389,0.0,,0.979,0.759,59,5
slower_ai,7,48,,940,0.374,0.0,,0.979,0.723,57,4
slower_ai,8,49,,910,0.441,0.0,,0.982,0.668,57,3
slower_ai,9,50,,920,0.41,0.0,,0.965,0.695,53,4
slower_ai,10,51,,910,0.388,0.0,,0.952,0.758,55,5
stronger_cooperation,1,42,,660,0.414,0.0,930,0.117,0.117,62,0
stronger_cooperation,2,43,,660,0.427,0.0,940,0.145,0.145,60,0
stronger_cooperation,3,44,,660,0.42,0.0,940,0.112,0.112,61,0
stronger_cooperation,4,45,,690,0.411,0.0,960,0.296,0.296,54,0
stronger_cooperation,5,46,,670,0.419,0.0,950,0.17,0.17,59,0
stronger_cooperation,6,47,,670,0.417,0.0,960,0.212,0.212,61,0
stronger_cooperation,7,48,,670,0.389,0.0,950,0.161,0.161,54,0
stronger_cooperation,8,49,,660,0.451,0.0,930,0.084,0.084,55,0
stronger_cooperation,9,50,,670,0.429,0.0,940,0.117,0.117,55,0
stronger_cooperation,10,51,,670,0.422,0.0,940,0.135,0.135,56,0
balanced_path,1,42,,860,0.478,0.0,,0.961,0.775,55,0
balanced_path,2,43,,860,0.483,0.0,,0.968,0.789,52,0
balanced_path,3,44,,860,0.475,0.0,,0.953,0.787,57,0
balanced_path,4,45,,880,0.464,0.0,,0.968,0.734,53,0
balanced_path,5,46,,850,0.466,0.0,,0.964,0.815,52,0
balanced_path,6,47,,860,0.475,0.0,,0.95,0.797,56,0
balanced_path,7,48,,860,0.441,0.0,,0.947,0.783,54,0
balanced_path,8,49,,850,0.508,0.0,,0.951,0.742,54,0
balanced_path,9,50,,860,0.484,0.0,,0.95,0.777,54,0
balanced_path,10,51,,860,0.477,0.0,,0.96,0.825,56,0
