step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_distortion_trust_damage,avg_effective_info,stable_share
0,0.856450871762056,0.7825033408000001,0.509811985,0.521164983408,0.15,0.09,0.0029159999999999993,0.641598,1.0
1,0.8615037927789745,0.7547088390259227,0.5194339214603632,0.5595293578823163,0.13499999999999998,0.08099999999999999,0.0026243999999999994,0.6419382,1.0
2,0.8620214480164714,0.7503920521777119,0.5288593044421435,0.5685861233969838,0.18,0.10919999999999999,0.003538079999999999,0.64087224,0.95
3,0.8658015914774821,0.7481029376583439,0.5381078398320936,0.5872036576858302,0.12,0.07919999999999999,0.0025660799999999992,0.64200624,0.95
4,0.8626144928282662,0.6987418519391932,0.5471763976299278,0.6229519038599248,0.12,0.0732,0.0023716799999999997,0.64223304,0.95
5,0.8683839957927312,0.7117194324720848,0.5560669076562329,0.6544664745674342,0.12,0.0732,0.0023716799999999997,0.64223304,0.95
6,0.8665995408262678,0.6774944783221313,0.5647851320479855,0.6935813910398504,0.10500000000000001,0.06420000000000001,0.0020800799999999998,0.6425732399999999,0.95
7,0.8609656670178861,0.6561604856576,0.5733318465005098,0.6984491657778261,0.10500000000000001,0.0654,0.0021189599999999996,0.64252788,0.9
8,0.855807372763205,0.6444672418771553,0.5816980931179973,0.7104245592629341,0.18,0.1176,0.0038102399999999995,0.64055472,0.85
9,0.853030316773121,0.6494151868380305,0.5899163712898112,0.7193571333813769,0.075,0.0498,0.0016135199999999996,0.64311756,0.8
10,0.848639716444241,0.6376890252055971,0.5979564460252965,0.7304093216935622,0.195,0.12179999999999999,0.003946319999999999,0.64039596,0.8
11,0.84830854964891,0.6384188624123969,0.6058382028147484,0.7409978965471813,0.18,0.1248,0.004043519999999999,0.64028256,0.8
12,0.8539855237200265,0.6421159705419465,0.6135750993765618,0.7616291813633578,0.12,0.08159999999999999,0.0026438399999999993,0.64191552,0.85
13,0.8516521804133077,0.6231032999069954,0.6211643358983195,0.7730749303087479,0.09,0.0624,0.0020217599999999996,0.64264128,0.9
14,0.8471622127063612,0.6252255210733239,0.6285926657403395,0.7770027124656734,0.18,0.1176,0.0038102399999999995,0.64055472,0.85
15,0.8510300637315289,0.6428243969694409,0.635887975157104,0.7881504284286771,0.09,0.0576,0.0018662399999999995,0.64282272,0.85
16,0.8464200282651309,0.6076611079045255,0.643026358723747,0.8001642326430012,0.18,0.1236,0.004004639999999999,0.64032792,0.85
17,0.8339472519193919,0.5425234803607414,0.6500363357707686,0.8009606054323202,0.10500000000000001,0.06659999999999999,0.00215784,0.64248252,0.85
18,0.8318615739343915,0.5489524593468397,0.6569002032004803,0.8127912058015252,0.15,0.10919999999999999,0.003538079999999999,0.64087224,0.7
19,0.8377643547529958,0.5685181498855917,0.6636350504384352,0.8351624309272525,0.12,0.0804,0.002604959999999999,0.64196088,0.65
20,0.8360295374889892,0.5619154128568871,0.6702336941519564,0.8427234168566073,0.13499999999999998,0.1014,0.0032853599999999998,0.64116708,0.65
21,0.8347252915892704,0.543164917369823,0.6766978389524579,0.865943497415935,0.18,0.12840000000000001,0.004160159999999999,0.6401464800000001,0.65
22,0.832179647135501,0.5483717924722908,0.683042970104091,0.867717419967029,0.12,0.0864,0.0027993599999999994,0.64173408,0.65
23,0.8290340830136357,0.5547717540765876,0.6892614168262942,0.8653045192682465,0.15,0.0984,0.0031881599999999998,0.64128048,0.65
24,0.8306408088943776,0.5603145957033877,0.6953562749968454,0.8723705790230831,0.13499999999999998,0.10740000000000001,0.0034797599999999993,0.6409402799999999,0.65
25,0.827573848292344,0.5471544018574014,0.7013315896900767,0.886327215718824,0.16499999999999998,0.10740000000000001,0.0034797599999999993,0.6409402799999999,0.65
26,0.8287563943934643,0.5649206555754747,0.7071900066178433,0.883285103418566,0.15,0.1056,0.003421439999999999,0.64100832,0.6
27,0.8218845018119592,0.5341459551505535,0.7129335110765675,0.8815427368033439,0.15,0.1056,0.003421439999999999,0.64100832,0.6
28,0.8178158917098619,0.5410882078330566,0.7185661160759362,0.8786958876214838,0.12,0.0948,0.0030715199999999995,0.6414165599999999,0.55
29,0.8177594155057598,0.5483965992667557,0.7240819776665344,0.8910529101417263,0.195,0.13379999999999997,0.00433512,0.6399423599999999,0.55
30,0.818940270894027,0.5620391854404102,0.7294850391600032,0.8997157786611725,0.195,0.1638,0.0053071199999999985,0.63880836,0.55
31,0.8089932397916824,0.5075434722878329,0.7347919575151869,0.8962446111109642,0.12,0.1008,0.0032659199999999994,0.6411897599999999,0.55
32,0.8120220598181105,0.4882505413643862,0.7399979262264373,0.9105947130951557,0.10500000000000001,0.0798,0.0025855199999999996,0.64198356,0.55
33,0.7979723464773311,0.4502706944975576,0.7450985181357662,0.9185712962355593,0.13499999999999998,0.1014,0.0032853599999999998,0.64116708,0.65
34,0.793204937149061,0.43869516906068123,0.7501010443668907,0.914599148555755,0.12,0.0876,0.0028382399999999997,0.64168872,0.6
35,0.7933752507610039,0.4549608285151711,0.7550009767288831,0.9146377077956084,0.15,0.11879999999999999,0.003849119999999999,0.64050936,0.55
36,0.7899281930972287,0.4419327355223935,0.759807163127148,0.9120663115724994,0.12,0.10200000000000001,0.0033047999999999992,0.6411444,0.5
37,0.7877031518258973,0.4518708999354435,0.7645100747691537,0.9113226587645628,0.21000000000000002,0.16799999999999998,0.005443199999999999,0.6386496,0.5
38,0.7866891994953579,0.45122651600469343,0.7691313228365482,0.907526748364862,0.12,0.09,0.0029159999999999993,0.641598,0.5
39,0.7839096562450002,0.4536575589446029,0.7736567782664603,0.902685203430104,0.16499999999999998,0.129,0.0041795999999999995,0.6401238,0.5
