run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8149318885637151,0.7549794568784883,0.9403410783389727,0.42432835761807847,0.9310974405003297,0.9719197348152389,35,45,0,1,0,0.06012675217907615
1,43,0.8776230391443816,0.8062794987892232,0.9840835445365401,0.7119675529116452,0.9311399842814302,0.9041994763913567,,,1,0,0,0.054188900727168754
2,44,0.6982158833170482,0.66743690430124,0.9393873447237289,0.1816191877177473,0.9309615097089593,0.94254214796285,60,,0,0,1,0.0815069469656764
3,45,0.9228860766665032,0.5770607276839775,0.9228860766665032,0.758987431518532,0.9309845033543483,0.9900297974798423,1,91,0,1,0,0.08392408120713646
4,46,0.8411602590391656,0.7036480002351679,0.9512353475591546,0.5715867126228268,0.9310582171683033,0.9514783286791215,66,89,0,1,0,0.053604885273039415
5,47,0.8086905438559845,0.6116997069864649,0.8937303265493453,0.4789013005070365,0.9309433010389718,0.9747894117941253,7,12,0,1,0,0.09040332002312268
6,48,0.9354009616029494,0.5792725306505062,0.9396080288704938,0.8165949330429172,0.9310390790085017,0.9526132774401219,34,77,0,1,0,0.07732174465457997
7,49,0.8360464069202788,0.6775497495970546,0.9128546942879289,0.607284032685632,0.9310194566959864,0.9395844237675118,8,12,0,1,0,0.08338165680670029
8,50,0.8743156016601641,0.7242239354728517,0.9400227614780092,0.6939999078886998,0.9311003112859315,0.9038539193044941,17,21,0,1,0,0.06414698231247284
9,51,0.7063780797127177,0.5941760810725266,0.8904760264393847,0.26475442958996004,0.93102424497629,0.7818836798673198,17,32,0,1,1,0.06221232918286734
10,52,0.8641935380466852,0.6202598121703851,0.9177218032257997,0.5657159409546203,0.9310003060315548,0.990010161096401,19,95,0,1,0,0.09210189319886042
11,53,0.817664294006984,0.7402498243885809,0.9843093711565732,0.5481928976205723,0.9311261275330214,0.8816287252715566,62,69,0,1,0,0.0600056600489578
12,54,0.7593891931538677,0.6458421090046099,0.9298054995577889,0.5011172693014054,0.9310567866987021,0.8906218727411671,12,52,0,1,1,0.0719615824651666
13,55,0.9483951854246631,0.6916505817561943,0.9792013691495097,0.8748313540852879,0.9310830975891428,0.8811224364993,43,65,0,1,0,0.06808016759113711
14,56,0.7337065829202897,0.6520323017249146,0.8809505922485051,0.40986984796792575,0.9309950365652855,0.7981187523929121,13,32,0,1,1,0.07117872718307372
15,57,0.6685231746651612,0.569242356376304,0.8987167471019404,0.26431176457100436,0.9309706113959979,0.7903549477777478,17,,0,0,1,0.06988625021477823
16,58,0.904775375621562,0.7807353577575931,0.95461031565499,0.6779297629859281,0.9311557519047304,0.9852964278724987,62,68,0,1,0,0.054136174015670835
17,59,0.7718409758452495,0.6840572054516961,0.9546518462483142,0.515544497021756,0.9310668305826798,0.8843144453045249,62,78,0,1,1,0.0634472388282844
18,60,0.6866081898033594,0.5964093565655468,0.8825800695977067,0.27333257743677897,0.9310141915156424,0.7869440975802829,6,11,0,1,1,0.06118385839950957
19,61,0.8484230772134872,0.8028411231532713,0.9415013219150008,0.4004655165758768,0.9311471530333475,0.9762413591641469,,,1,0,0,0.05243009202355742
