record_id,cluster,title,record_url,previous_captured_at,current_captured_at,previous_views,current_views,delta_views,previous_downloads,current_downloads,delta_downloads,previous_unique_views,current_unique_views,delta_unique_views,previous_unique_downloads,current_unique_downloads,delta_unique_downloads,status_note
19742665,CTF,"The Domain of Non-Existence: Formal Ontology, Structured Discovery, and Impossible-First Reasoning",https://zenodo.org/records/19742665,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,31,38,7,9,16,7,25,31,6,9,15,6,
19742675,CTF,Cosmic Gradient Energy Model (CGEM): A Testable Scalar–Tensor Extension of Inhomogeneous Cosmology,https://zenodo.org/records/19742675,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,18,26,8,15,25,10,16,22,6,15,24,9,
19743990,CTF,The Unification Method: A Structured Framework for Resolving Conceptual Opposition,https://zenodo.org/records/19743990,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,14,23,9,2,10,8,12,18,6,2,9,7,
19744183,CTF,Morality and Justice as Optimization within Value Systems,https://zenodo.org/records/19744183,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,20,36,16,8,20,12,18,27,9,7,15,8,
20014307,CTF,Level Ascension: A Formal Cognitive-Structural Operation and Its Generativity Across Four Domains,https://zenodo.org/records/20014307,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,24,36,12,5,13,8,23,32,9,5,10,5,
20117067,CTF,"Structural Unification and Its Limits: An Observation Journal Across Physics, Philosophy, and Everyday Decisions",https://zenodo.org/records/20117067,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,19,30,11,1,11,10,18,27,9,1,10,9,
20218366,CTF,"A Structural Morality Model: Value Optimization, Compromise, and the Non-Terminal Moral System",https://zenodo.org/records/20218366,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,14,23,9,2,10,8,12,20,8,2,9,7,
19956844,CTF/DCM,Dimension Convergence Model: An Information-Based Interpretation of Perceived Dimensionality,https://zenodo.org/records/19956844,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,46,61,15,34,46,12,33,44,11,26,33,7,
19501186,Formal Systems,"The Domain of Non-Existence: A Minimal Structural Model of Possibility, Emergence, and Discovery",https://zenodo.org/records/19501186,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,12,14,2,10,10,0,10,12,2,7,7,0,
19929769,Formal Systems,A Minimal Structural Model of Opposition–Load–Coupling Induced Instability in Cognitive Systems,https://zenodo.org/records/19929769,2026-06-06T23:14:18-05:00,2026-06-11T06:06:24-05:00,28,33,5,14,22,8,26,30,4,10,17,7,
