"id","title","log_views","current_views","delta_views","log_downloads","current_downloads","delta_downloads","url"
"19742665","The Domain of Non-Existence: Formal Ontology, Structured Discovery, and Impossible-First Reasoning","31","32","1","9","9","0","https://zenodo.org/records/19742665"
"19742675","Cosmic Gradient Energy Model (CGEM): A Testable Scalar–Tensor Extension of Inhomogeneous Cosmology","18","19","1","15","18","3","https://zenodo.org/records/19742675"
"19743990","The Unification Method: A Structured Framework for Resolving Conceptual Opposition","14","15","1","2","2","0","https://zenodo.org/records/19743990"
"19744183","Morality and Justice as Optimization within Value Systems","20","23","3","8","9","1","https://zenodo.org/records/19744183"
"20014307","Level Ascension: A Formal Cognitive-Structural Operation and Its Generativity Across Four Domains","24","27","3","5","5","0","https://zenodo.org/records/20014307"
"20117067","Structural Unification and Its Limits: An Observation Journal Across Physics, Philosophy, and Everyday Decisions","19","23","4","1","4","3","https://zenodo.org/records/20117067"
"20218366","A Structural Morality Model: Value Optimization, Compromise, and the Non-Terminal Moral System","14","16","2","2","2","0","https://zenodo.org/records/20218366"
"19956844","Dimension Convergence Model: An Information-Based Interpretation of Perceived Dimensionality","46","53","7","34","36","2","https://zenodo.org/records/19956844"
"19501186","The Domain of Non-Existence: A Minimal Structural Model of Possibility, Emergence, and Discovery","12","12","0","10","10","0","https://zenodo.org/records/19501186"
"19929769","A Minimal Structural Model of Opposition–Load–Coupling Induced Instability in Cognitive Systems","28","28","0","14","14","0","https://zenodo.org/records/19929769"
"20499518","System of Eternity Operation Layer: Final Assembled Paper Draft v0.1.3","21","22","1","8","10","2","https://zenodo.org/records/20499518"
"20499579","System of Eternity Governance Architecture v0.5.2","72","79","7","9","13","4","https://zenodo.org/records/20499579"
"20499592","System of Eternity (SOE): A Non-Terminal Civilizational Governance Framework (V4.4)","73","86","13","11","20","9","https://zenodo.org/records/20499592"
"19754682","Bounded Propagation Without Ignition: Structural Limits of Local Coupling in Governance Network Simulations","23","27","4","8","8","0","https://zenodo.org/records/19754682"
"20066833","Structural Failure Modes in Civilizational Systems: Five Canonical Pathways and Integrated Detection Framework","36","36","0","9","9","0","https://zenodo.org/records/20066833"
"20078764","System of Eternity (SOE): Architecture Design v0.3 — Institutional Mechanisms Integration Snapshot","72","79","7","9","13","4","https://zenodo.org/records/20078764"
"20054302","System of Eternity (SOE): Simulation Program — Foundational Research Artifacts (v1.3 through v12)","21","24","3","1","1","0","https://zenodo.org/records/20054302"
"20144235","System of Eternity (SOE) Governance Architecture: Grand Simulation v0.7 Companion Archive","27","28","1","6","8","2","https://zenodo.org/records/20144235"
"20147828","System of Eternity Governance Architecture: Simulation-Evidence Manuscript Draft after Grand Simulation v0.7","15","18","3","14","18","4","https://zenodo.org/records/20147828"
"20471382","System of Eternity: Second and Third Grand Simulation Evidence Update after Operation Layer Integration","19","23","4","4","4","0","https://zenodo.org/records/20471382"
"20499843","System of Eternity Future-Concern Harvest Source Archive: Fiction, Media, Nonfiction, and Expert Scenario Patterns","12","14","2","0","1","1","https://zenodo.org/records/20499843"
"20471399","System of Eternity: Architecture, Evidence Boundaries, and Future-Concern Registry","22","25","3","4","5","1","https://zenodo.org/records/20471399"
"19984642","The Trinity Framework of Cognitive Systems: A Structured Critical Thinking Architecture for Complex Adaptive Systems","57","63","6","2","3","1","https://zenodo.org/records/19984642"
