"captured_at","id","doi","title","resource_type","publication_date","version","views","unique_views","downloads","unique_downloads","record_url"
"2026-06-06T22-59-01-05:00","20575844","10.5281/zenodo.20575844","tardis-sn/stardis: Stardis v2026.06.07","software","2026-06-07","release-2026.06.07","2906","2791","533","523",
"2026-06-06T22-59-01-05:00","20443157","10.5281/zenodo.20443157","Supplementary material: Brain and behavior associations of executive functions: a global OCD study","image","2026-05-29",,"0","0","3","3",
"2026-06-06T22-59-01-05:00","20387151","10.5281/zenodo.20387151","Data and Codes for: Ice-Wedge Cracking in Arctic Permafrost Resolved by Distributed Fibre Sensing","publication","2026-06-06",,"0","0","0","0",
"2026-06-06T22-59-01-05:00","20569954","10.5281/zenodo.20569954","ГИС БАЗА-ДАННИ ПО ПРОЕКТ SMART INTEGRATED DEVICES FOR TELEMEDICINE TO COMBAT COVID-19 TOWARD NEW RESILIENCE CITY","publication","2025-10-25",,"0","0","0","0",
"2026-06-06T22-59-01-05:00","20570122","10.5281/zenodo.20570122","JuliaReach/LazySets.jl: v6.0.4","software","2026-06-06","v6.0.4","8402","8236","3480","3240",
"2026-06-06T22-59-01-05:00","20570035","10.5281/zenodo.20570035","ПОВЫШЕНИЕ ЭНЕРГОЭФФЕКТИВНОСТИ СИСТЕМ HVAC МЕТОДАМИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА","publication","2026-06-06",,"0","0","0","0",
"2026-06-06T22-59-01-05:00","20569527","10.12692/ijb/28.4.98-106","Physicochemical and microbiological characterization of flours from the local variety of purple corn (Zea mays L.) produced and marketed in Katiola (Côte d'Ivoire)","publication","2026-04-13",,"0","0","0","0",
"2026-06-06T22-59-01-05:00","20569360","10.5281/zenodo.20569360","BOSHLANG'ICH SINF MATEMATIKA DARSLARIDA ASOSIY MIQDORLAR VA ULARNING O'LCHOV BIRLIKLARINI O'RGATISHNING METODIK ASOSLARI.","publication","2026-06-06",,"0","0","0","0",
"2026-06-06T22-59-01-05:00","20569314","10.5281/zenodo.20569314","JuliaGPU/GPUCompiler.jl: v1.19.0","software","2026-06-06","v1.19.0","2677","2672","766","753",
"2026-06-06T22-59-01-05:00","20566243","10.5281/zenodo.20566243","The Body Politic as a Sacred Vessel: A Systematic Review of the Cross-Cultural Resonance of Moral Metaphors","publication","2026-06-06",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20563065","10.5281/zenodo.20563065","mirage-project/mirage: OSDI'26 artifact","software","2026-06-05","osdi26-ae-v1","3","1","0","0",
"2026-06-06T22-59-01-05:00","20562112","10.5281/zenodo.20562112","Teaching Students to Work With, Not Against, Al: A Classroom Model for Critical Literacy in Grades 6-12","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20562306","10.5281/zenodo.20562306","Inocybe fulvobasalis Zhu L. Yang & Zi X. Yu 2026, sp. nov.","publication","2026-06-05",,"3","3","0","0",
"2026-06-06T22-59-01-05:00","20483916","10.5281/zenodo.20483916","Urban imagery reveals multidimensional sustainability of neighborhoods across global cities — data deposit","dataset","2026-06-01","1.0.0","1","1","0","0",
"2026-06-06T22-59-01-05:00","20561743","10.5281/zenodo.20561743","""YULDASH MAMUTOV'S CREATIVE WORK AND HIS ROLE IN KARAKALPAK THEATER""","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20561350","10.5281/zenodo.20561350","Degree-related writing before and after the public release of ChatGPT: A pilot corpus study of BA and MA theses by L2 English majors","presentation","2026-05-29",,"20","10","0","0",
"2026-06-06T22-59-01-05:00","20561376","10.5281/zenodo.20561376","Sage-Bionetworks/synapsePythonClient: v4.13.0-rc","software","2026-06-05","v4.13.0-rc","2817","2800","690","690",
"2026-06-06T22-59-01-05:00","20514398","10.5281/zenodo.20514398","A conceptual framework for deep learning-based multimodal emotion detection using facial expressions and physiological signals","publication","2026-06-05",,"7","7","0","0",
"2026-06-06T22-59-01-05:00","20558402","10.5281/zenodo.20558402","Brain DNA methylation, APOE genotype, and AD neuropathology: findings from a large cohort of postmortem human brain tissue samples","software","2026-06-05","v1.0.0","4","3","0","0",
"2026-06-06T22-59-01-05:00","20395827","10.5281/zenodo.20395827","Outer-surface processes dominate the overall mass transfer resistance in small crystals and ultra-thin membranes","dataset","2026-05-26",,"1","1","0","0",
"2026-06-06T22-59-01-05:00","20557878","10.5281/zenodo.20557878","Inocybe biformis Zhu L. Yang & Zi X. Yu 2026, sp. nov.","publication","2026-06-05",,"3","3","0","0",
"2026-06-06T22-59-01-05:00","20557866","10.5281/zenodo.20557866","Inocybe subtropicocinnamomea Zhu L. Yang & Zi X. Yu 2026, sp. nov.","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20554855","10.5281/zenodo.20554855","Terrestrial carbon storage in monsoon Asia since the Last Glacial Maximum: Evidence from pollen-constrained process-based modeling","dataset","2026-06-05",,"9","6","0","0",
"2026-06-06T22-59-01-05:00","20557494","10.5281/zenodo.20557494","Spatial Modeling of Green Space Dynamics for Sustainable Capital Planning in Indonesia","publication","2026-06-05",,"4","3","1","1",
"2026-06-06T22-59-01-05:00","20556749","10.5281/zenodo.20556749","LigPhoreSet and CpxPhoreSet for training DiffPhore","dataset","2026-06-05",,"293","275","381","156",
"2026-06-06T22-59-01-05:00","20555894","10.5281/zenodo.20555894","When Pluriversal International Relations Meet Narratives About Confucius Institutes","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20555370","10.5281/zenodo.20555370","The Sino-Russian relationship and its implications across the Eurasian and Indo-Pacific strategic theaters","publication","2026-06-05",,"3","3","0","0",
"2026-06-06T22-59-01-05:00","20555226","10.5281/zenodo.20555226","Central Asia's Capacity to Study China and Contribute to Policy-Making","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20555394","10.5281/zenodo.20555394","Newly Minted Indo-Pacific Politics' Challenges to Decolonising Taiwan's Foreign Relations and Knowledge Production","publication","2026-06-05",,"1","1","0","0",
"2026-06-06T22-59-01-05:00","20555391","10.5281/zenodo.20555391","Securitization of China-Nordic Relations","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20555167","10.5281/zenodo.20555167","Anchors as Weapons: Chinese Maritime Grey-Zone Coercion and the Limits of European Hybrid Threat Frameworks","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20554776","10.5281/zenodo.20554776","Optimization of Thermal Conductivity of Handloom Woven Silk–Cotton Union Fabrics using Response Surface Methodology","publication","2026-04-05",,"5","5","0","0",
"2026-06-06T22-59-01-05:00","20550298","10.5281/zenodo.20550298","Coordinated GTSD planning_CRS","dataset","2026-06-05",,"5","2","0","0",
"2026-06-06T22-59-01-05:00","20554061","10.5281/zenodo.20554061","Jij-Inc/ommx: OMMX Python SDK 3.0.0 Alpha 5","software","2026-06-05","python-3.0.0a5","272","248","30","30",
"2026-06-06T22-59-01-05:00","20553093","10.3897/imafungus.17.184941","Insights into intraspecific variation and genotyping of Ganoderma lingzhi through pan-mitogenome analysis","publication","2026-06-03",,"1","1","0","0",
"2026-06-06T22-59-01-05:00","20553089","10.3897/imafungus.17.191673","Cladosporium from caves of the Brazilian savannah (Cerrado) and the description of six new species","publication","2026-06-03",,"1","1","0","0",
"2026-06-06T22-59-01-05:00","20553061","10.3897/zookeys.1281.158566","Endangered Steppe Eagle (Aquila nipalensis) (Aves, Accipitriformes, Accipitridae) genome and mitogenome assembly: A resource for molecular evolution and comparative genomics","publication","2026-06-03",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20553057","10.3897/zookeys.1281.186268","Two new cave-dwelling species of Triplophysa (Cypriniformes, Nemacheilidae) from Guizhou, China","publication","2026-06-03",,"1","1","0","0",
"2026-06-06T22-59-01-05:00","20553055","10.3897/zookeys.1281.194880","Type material of South American Pimpla Fabricius, 1804 (Hymenoptera, Ichneumonidae) housed in the Instituto Fundación Miguel Lillo, Argentina","publication","2026-06-03",,"1","1","0","0",
"2026-06-06T22-59-01-05:00","20552952","10.5281/zenodo.20552952","SITRAT QURUQ QUYON PLAZMASINI AJRATIB OLISH TEXNOLOGIYASINI ISHLAB CHIQISH","publication","2026-06-05",,"2","2","2","2",
"2026-06-06T22-59-01-05:00","20552651","10.5281/zenodo.20552651","Veronaeopsis sinensis M. Y. Zhang, Zhi Y. Zhang & G. Tao 2026, sp. nov.","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20552646","10.5281/zenodo.20552646","Verruconis obovatus M. Y. Zhang, Zhi Y. Zhang & G. Tao 2026, sp. nov.","publication","2026-06-05",,"2","2","0","0",
"2026-06-06T22-59-01-05:00","20552644","10.5281/zenodo.20552644","Scolecobasidium campestre H. Pan, Zhi Y. Zhang & G. Tao 2026, sp. nov.","publication","2026-06-05",,"0","0","0","0",
"2026-06-06T22-59-01-05:00","20552328","10.5281/zenodo.20552328","Adoption Is a Relationship, Not a Capability: Raised Companion Agents and the IP-Agnostic Platform for Everyday AI","publication","2026-06-05","v1","9","7","0","0",
"2026-06-06T22-59-01-05:00","20551131","10.5281/zenodo.20551131","The Matching Effect between Expression and Context: The Influence of Service Robot Facial Expressions on Consumers' Purchase Preferences","dataset","2026-06-05",,"3","3","1","1",
